Year,Suicide,Theatre,Opera,Cinema
2023,4 061,6 279 512,275 086,31 005 844
2022,4 218,5 451 627,211 233,35 754 644
2021,4 194,714 864,14 032,12 418 777
2020,3 710,4 492 293,256 063,17 226 952
2019,3 476,7 899 547,322 189,56 479 209
2018,3 342,7 841 353,293 002,64 772 380
2017,3 168,7 006 410,281 069,68 482 526
2016,3 193,6 016 762,272 578,55 260 600
2015,3 246,5 853 445,337 007,57 148 011
2014,3 169,6 076 128,400 420,55 378 716
2013,3 252,6 244 821,375 223,45 077 509
2012,3 287,5 621 066,333 707,39 002 190
2011,2 677,5 385 588,310 623,37 439 786
2010,2 933,5 248 226,324 007,35 787 380
2009,2 898,4 320 729,181 605,31 334 447
2008,2 816,3 380 214,325 364,31 132 231
2007,2 793,2 419 262,451 271,20 659 569
2006,2 829,2 161 537,245 448,23 512 599
2005,2 703,2 716 251,252 076,18 001 466
2004,2 707,2 567 491,457 717,18 670 834
2003,2 705,2 758 206,273 271,14 503 052
2002,2 301,2 634 841,165 154,15 406 597
2001,2 584,2 570 120,207 360,16 905 737
2000,1 802,3 746 162,258 547,17 086 152
